id,area,name_pt,name_en,status
884,portugal,População residente com idade entre 16 e 89 anos por nível de escolaridade completo mais elevado (%),Resident population aged between 16 and 89 by level of highest educational qualifications obtained (percentage),ok
333,portugal,População residente com idade entre 16 e 89 anos por nível de escolaridade completo mais elevado: total e por sexo,Resident population aged between 16 and 89 by level of highest educational qualifications obtained total and by sex,ok
2101,portugal,População residente com idade entre 16 e 89 anos: total e por nível de escolaridade completo mais elevado,Resident population aged between 16 and 89 total and by highest level of educational qualifications obtained,ok
8,portugal,"População residente do sexo feminino, estimativas a 31 de dezembro: total e por grupo etário",Resident female population estimates at december 31st total and by age group,ok
195,portugal,População residente do sexo feminino com 16 a 64 anos e 65 a 89 anos: por nível de escolaridade completo mais elevado,Resident female population aged 16 to 64 and 65 to 89 by highest level of educational qualifications obtained,ok
3510,portugal,População residente do sexo feminino com 65 e mais anos: total e por grupo etário,Resident female population aged 65 and over total and by age group,ok
885,portugal,População residente do sexo feminino com idade entre 16 e 89 anos por nível de escolaridade completo mais elevado (%),Resident female population aged between 16 and 89 by level of highest educational qualifications obtained (percentage),ok
2103,portugal,População residente do sexo feminino com idade entre 16 e 89 anos: total e por nível de escolaridade completo mais elevado,Resident female population aged between 16 and 89 total and by highest level of educational qualifications obtained,ok
519,portugal,População residente do sexo feminino: total e por grandes grupos etários,Resident female population total and by major age groups,ok
9,portugal,"População residente do sexo masculino, estimativas a 31 de dezembro: total e por grupo etário",Resident male population estimates at december 31st total and by age group,ok
196,portugal,População residente do sexo masculino com 16 a 64 anos e 65 a 89 anos: por nível de escolaridade completo mais elevado,Resident male population aged 16 to 64 and 65 to 89 by highest level of educational qualifications obtained,ok
3509,portugal,População residente do sexo masculino com 65 e mais anos: total e por grupo etário,Resident male population aged 65 and over total and by age group,ok
886,portugal,População residente do sexo masculino com idade entre 16 e 89 anos por nível de escolaridade completo mais elevado (%),Resident male population aged between 16 and 89 by level of highest educational qualifications obtained (percentage),ok
2102,portugal,População residente do sexo masculino com idade entre 16 e 89 anos: total e por nível de escolaridade completo mais elevado,Resident male population aged between 16 and 89 total and by highest level of educational qualifications obtained,ok
518,portugal,População residente do sexo masculino: total e por grandes grupos etários,Resident male population total and by major age groups,ok
3245,portugal,População residente em idade ativa: total e por grupos etários,Resident population of working age total and by age group,ok
3251,portugal,População estrangeira que adquiriu nacionalidade portuguesa: total e por grupo etário,Foreign population that acquired portuguese nationality total and by age group,ok
3252,portugal,População estrangeira que adquiriu nacionalidade portuguesa por motivo de aquisição,Foreign population that acquired portuguese nationality total and by type of acquisition of nationality,ok
3249,portugal,População estrangeira que adquiriu nacionalidade portuguesa: total e por principais nacionalidades anteriores,Foreign population who acquired portuguese nationality total and by major previous nationalities,ok
3250,portugal,População estrangeira que adquiriu nacionalidade portuguesa: total e por sexo,Foreign population that acquired portuguese nationality total and by sex,ok
2619,portugal,População residente que viajou em turismo em % da população residente: total e por destino da viagem,Resident population who went on tourism as percentage of resident population total and by destination of trip,ok
2814,portugal,População residente que viajou em turismo em % da população residente: total e por grupo etário,Resident population who went on tourism as percentage of resident population total and by age group,ok
2617,portugal,População residente que viajou em turismo: total e por condição perante o trabalho (%),Resident population who went on tourism total and by work situation (percentage),ok
2616,portugal,População residente que viajou em turismo: total e por destino da viagem,Resident population who went on tourism total and by destination of trip,ok
2561,portugal,População residente que viajou em turismo: total e por grupo etário,Resident population who went on tourism total and by age group,ok
2618,portugal,População residente que viajou em turismo: total e por nível de instrução (%),Resident population who went on tourism total and by level of schooling (percentage),ok
2560,portugal,População residente que viajou em turismo: total e por sexo,Resident population who went on tourism total and by sex,ok
3018,portugal,População residente: total e por grandes grupos etários (%),Resident population total and by major age groups (percentage),ok
513,portugal,População residente em Portugal: total e grupos etários,Resident population total and by major age groups,ok
2374,portugal,Posição de investimento internacional: ativos e passivos financeiros face ao estrangeiro em % do PIB,International investment position financial assets and liabilities abroad as a percentage of gdp,ok
2373,portugal,Posição de investimento internacional: ativos e passivos financeiros face ao estrangeiro,International investment position financial assets and liabilities abroad,ok
1200,portugal,Postos/acessos telefónicos por mil habitantes,Telephone accesses stations per thousand inhabitants,ok
1179,portugal,"Postos telefónicos analógicos: total, públicos e principais",Analogue telephone stations total public and main lines,ok
1073,portugal,"Potencial de acidificação: total, das atividades económicas e das famílias",Acidification potential total of the industries and of the households,ok
1080,portugal,Potencial de acidificação: total e por alguns setores de atividade económica,Acidification potential total and by some sectors of economic activity,ok
3351,portugal,Potencial de efeito de estufa na agricultura,Potential greenhouse effect on agriculture,ok
1072,portugal,"Potencial de efeito de estufa: total, das atividades económicas e das famílias",Global warming potential total of the industries and of the households,ok
1077,portugal,Potencial de efeito de estufa: total e por alguns setores de atividade económica,Global warming potential total and by some sectors of economic activity,ok
2323,portugal,Poupança das famílias,Saving of households,ok
710,portugal,Poupança e ordenados/salários no total do rendimento disponível das famílias (%),Savings and wages salaries in total of disposable income (percentage),ok
2566,portugal,Pousadas de juventude: número e capacidade de alojamento,Youth hostels number and lodging capacity,ok
2237,portugal,Praticantes desportivos federados por mil habitantes,Sportspersons per thousand inhabitants,ok
2228,portugal,Praticantes desportivos federados: total e por escalão etário,Associated sportspersons total and by age group,ok
2229,portugal,Praticantes desportivos federados: total e por sexo,Associated sportspersons total and by sex,ok
2227,portugal,Dados sobre jogadores federados em Portugal,Associated sportspersons total and by all sport federations,ok
1338,portugal,Precipitação do mês com maior precipitação,Rainfall in month of heaviest rainfall,ok
1070,portugal,Dados sobre a precipitação total em Portugal,Total rainfall,ok
1265,portugal,Preços dos combustíveis líquidos e gasosos em Portugal,Average price of liquid and gas fuel sold to the public – mainland portugal,ok
2194,portugal,Presidentes da Câmara: total e por partido político ou coligação,Mayors total and by political party or coalition,ok
104,portugal,"Prestações de desemprego da Segurança Social: despesa total, subsídio de desemprego e subsídio social de desemprego",Social security unemployment benefit total benefits unemployment benefit and supplementary unemployment benefit,ok
381,portugal,"Prestações de desemprego da Segurança Social: total de subsídios, subsídio de desemprego e subsídio social de desemprego",Social security unemployment benefits total benefits unemployment benefit and supplementary unemployment benefit,ok
122,portugal,Prestações familiares da Segurança Social,Family benefits from social security,ok
270,portugal,Prisões: total e lotação,Prisons total and capacity,ok
742,portugal,"Processos entrados, findos e pendentes por advogado",Initiated terminated proceedings and proceedings pending per lawyer,ok
630,portugal,"Processos entrados, findos e pendentes por magistrado judicial",Initiated terminated proceedings and proceedings pending per judge,ok
629,portugal,Processos entrados e findos por tribunal judicial,Initiated and terminated proceedings by law court,ok
1428,portugal,Processos findos de adoção plena: total e por duração,Terminated proceedings of full adoption total and by duration,ok
1426,portugal,Processos findos de adoção,Terminated proceedings of adoption,ok
1126,portugal,Produção bruta de energia elétrica: total e por tipo de produção de energia elétrica,Gross production of electricity total and by type of electricity generation,ok
3357,portugal,Produção das principais culturas agrícolas,Main crops prodution,ok
3441,portugal,Produção de azeite: total e por tipo de lagar ? Continente,Olive oil produced total and by type of oil press unit – mainland portugal,ok
3362,portugal,Produção de azeitona ? Continente,Olive production – mainland portugal,ok
1232,portugal,Produção de energia elétrica a partir de fontes renováveis (%),Electricity production from renewable sources (percentage),ok
1127,portugal,Produção de energia elétrica em Portugal,Production of electricity total and from renewable sources,ok
3364,portugal,Produção de vinho por cor,Wine production by colour,ok
2303,portugal,Produtividade aparente do trabalho: total e por ramo de atividade,Apparent labour productivity total and by industry,ok
3361,portugal,Produtividade das principais culturas agrícolas,Main crops yield,ok
2817,portugal,Produtividade do trabalho em Portugal,Labour productivity,ok
130,portugal,Evolução anual do PIB - Riqueza criada,Gross domestic product (gdp),ok
3424,portugal,Produtores agrícolas singulares: total e por grupo etário,Individual agricultural producers total and by age group,ok
3422,portugal,Produtores agrícolas singulares: total e por sexo,Individual agricultural producers total and by sex,ok
144,portugal,Dados sobre os profissionais de saúde em Portugal,Healthcare personnel doctors dentists odontologists nurses and pharmacists,ok
872,portugal,"Provedoria de Justiça: processos entrados, findos e pendentes",Ombudsman initiated terminated proceedings and proceedings pending,ok
2584,portugal,Proveitos totais dos alojamentos turísticos: total e por tipo de estabelecimento,Total incomes of tourist accommodations total and by type of establishment,ok
1996,portugal,"Publicações científicas: número, publicações citadas e citações",Scientific publications number referenced publications and references,ok
1196,portugal,Publicações científicas por 100 mil habitantes,Scientific publications per 100 thousand inhabitants,ok
1137,portugal,Publicações científicas por área científica ? Contagem global,Scientific publications total and by scientific area – global count,ok
1134,portugal,Publicações científicas: total e em coautoria com instituições de outros países,Scientific publications total and in co authorship with institutions of other countries,ok
1154,portugal,Publicações científicas: total e por tipo de documento,Scientific publications total and by type of document,ok
1122,portugal,Qualidade da água para consumo humano,Water quality for human consumption,ok
1215,portugal,Qualidade das águas balneares costeiras e de transição/estuarinas (%),Coastal and transition estuary bathing water quality (percentage),ok
1216,portugal,Qualidade das águas balneares interiores (%),Bathing water quality in the interior (percentage),ok
2564,portugal,Quartos nos alojamentos turísticos: total e por tipo de estabelecimento,Bedrooms in tourist accommodations total and by type of establishment,ok
766,portugal,Receitas da Segurança Social em % do PIB,Social security revenue as a percentage of gdp,ok
