id,area,name,fontes,ultima_atualizacao,url,removed,featured
2721,europa,"Mercadorias transportadas por ferrovia: total, transporte doméstico e transporte internacional",Entidades Nacionais | Eurostat | Ministérios | PORDATA,2026-06-08,https://www.pordata.pt/europa/mercadorias+transportadas+por+ferrovia+total++transporte+domestico+e+transporte+internacional-2721,,
2713,europa,Mercadorias transportadas por via aérea: entrada e saída,Eurostat | Entidades Nacionais | PORDATA,2025-10-30,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+aerea+entrada+e+saida-2713,,
3031,europa,"Mercadorias transportadas por via aérea internacional: total, UE27 e extra-UE27",Eurostat | Entidades Nacionais | PORDATA,2025-10-30,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+aerea+internacional+total++ue27+e+extra+ue27-3031,,
2712,europa,"Mercadorias transportadas por via aérea: total, voos domésticos e voos internacionais",Eurostat | Entidades Nacionais | PORDATA,2025-10-30,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+aerea+total++voos+domesticos+e+voos+internacionais-2712,,
2715,europa,Mercadorias transportadas por via marítima: descarregadas e carregadas,Eurostat | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+maritima+descarregadas+e+carregadas-2715,,
3050,europa,"Mercadorias transportadas por via marítima internacional nos portos principais: total, UE27 e extra-UE27",Eurostat | Entidades Nacionais | PORDATA,2026-01-28,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+maritima+internacional+nos+portos+principais+total++ue27+e+extra+ue27-3050,,
3049,europa,"Mercadorias transportadas por via marítima nos portos principais: total, doméstico e internacional",Eurostat | Entidades Nacionais | PORDATA,2026-01-28,https://www.pordata.pt/europa/mercadorias+transportadas+por+via+maritima+nos+portos+principais+total++domestico+e+internacional-3049,,
3209,europa,Microempresas em % do total de empresas: por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-15,https://www.pordata.pt/europa/microempresas+em+percentagem+do+total+de+empresas+por+alguns+setores+de+atividade+economica-3209,,
3206,europa,Microempresas: por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-15,https://www.pordata.pt/europa/microempresas+por+alguns+setores+de+atividade+economica-3206,,
1824,europa,Mortalidade materna (na gravidez ou pós parto),Eurostat | OMS | Entidades Nacionais | PORDATA,2026-01-15,https://www.pordata.pt/europa/mortalidade+materna-1824,,
2979,europa,Mortes de empresas: total e por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/mortes+de+empresas+total+e+por+alguns+setores+de+atividade+economica-2979,,
3815,europa,Mortes prematuras causadas por exposição a partículas finas (PM2.5) por 100 mil residentes,Eurostat | AEA | Centro Temático Europeu sobre Poluição Atmosférica | Transportes | Ruído e Poluição Industrial (ETC/ATNI) | PORDATA,2026-01-14,https://www.pordata.pt/europa/mortes+prematuras+causadas+por+exposicao+a+particulas+finas+(pm2+5)+por+100+mil+residentes-3815,,
3564,europa,Mulheres em cargos de direção executiva e não executiva das empresas (%),Instituto Europeu para a Igualdade de Género | PORDATA,2026-03-27,https://www.pordata.pt/europa/mulheres+em+cargos+de+direcao+das+empresas+(percentagem)-3564,,
1994,europa,Mulheres no pessoal total e investigadores (ETI) em atividades de investigação e desenvolvimento (I&D) (%),Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/mulheres+no+pessoal+total+e+investigadores+(eti)+em+atividades+de+investigacao+e+desenvolvimento+(i+d)+(percentagem)-1994,,
1305,europa,Mulheres no total de alunos matriculados (ISCED 5-8): total e por área de educação (%),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-19,https://www.pordata.pt/europa/mulheres+no+total+de+alunos+matriculados+(isced+5+8)+total+e+por+area+de+educacao+(percentagem)-1305,,
1659,europa,Mulheres no total de alunos matriculados (%): total e por nível de ensino,Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/mulheres+no+total+de+alunos+matriculados+(percentagem)+total+e+por+nivel+de+ensino-1659,,
1662,europa,Mulheres no total de doutoramentos (ISCED 8) (%),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-05-08,https://www.pordata.pt/europa/mulheres+no+total+de+doutoramentos+(isced+8)+(percentagem)-1662,,
3563,europa,Mulheres nos parlamentos e governos nacionais (%),Instituto Europeu para a Igualdade de Género | PORDATA,2026-02-18,https://www.pordata.pt/europa/mulheres+nos+parlamentos+e+governos+nacionais+(percentagem)-3563,,
3559,europa,Mulheres vítimas de violência física e sexual (%),Eurostat | PORDATA,2026-01-20,https://www.pordata.pt/europa/mulheres+vitimas+de+violencia+fisica+e+sexual+(percentagem)-3559,,
1800,europa,Nados-vivos fora do casamento (%),Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-02,https://www.pordata.pt/europa/nados+vivos+fora+do+casamento+(percentagem)-1800,,
3027,europa,Nados-vivos segundo a ordem no total de nados-vivos (%),Eurostat a partir de dados de Institutos Nacionais de Estatística | PORDATA,2026-02-23,https://www.pordata.pt/europa/nados+vivos+segundo+a+ordem+no+total+de+nados+vivos+(percentagem)-3027,,
1247,europa,"Nados-vivos: total, no casamento e fora do casamento",Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-02,https://www.pordata.pt/europa/nados+vivos+total++no+casamento+e+fora+do+casamento-1247,,
2978,europa,Nascimentos de empresas: total e por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/nascimentos+de+empresas+total+e+por+alguns+setores+de+atividade+economica-2978,,
3055,europa,Navios de mar com passagem nos portos principais: total e por alguns tipos de embarcação,Eurostat | Entidades Nacionais | PORDATA,2025-11-27,https://www.pordata.pt/europa/navios+de+mar+com+passagem+nos+portos+principais+total+e+por+alguns+tipos+de+embarcacao-3055,,
3541,europa,Nitrato nas águas subterrâneas,Eurostat | AEA | PORDATA,2026-01-20,https://www.pordata.pt/europa/nitrato+nas+aguas+subterraneas-3541,,
1705,europa,Número de habitantes por médico,Eurostat | OMS | OCDE | Entidades Nacionais | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-15,https://www.pordata.pt/europa/numero+de+habitantes+por+medico-1705,,
1818,europa,Número de indivíduos em idade ativa por idoso,Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2026-01-27,https://www.pordata.pt/europa/numero+de+individuos+em+idade+ativa+por+idoso-1818,,
2981,europa,Número de nascimentos de empresas por número de mortes de empresas: total e por alguns setores de atividade económica,Eurostat | OCDE | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/numero+de+nascimentos+de+empresas+por+numero+de+mortes+de+empresas+total+e+por+alguns+setores+de+atividade+economica-2981,,
3078,europa,Número de veículos ligeiros de passageiros por mil habitantes,Eurostat | Entidades Internacionais | Entidades Nacionais | Comissão Europeia | NU | Institutos Nacionais de Estatística | PORDATA,2026-08-04,https://www.pordata.pt/europa/numero+de+veiculos+ligeiros+de+passageiros+por+mil+habitantes-3078,,
1665,europa,Número médio de alunos por docente no ensino básico 1.º e 2.º ciclos (ISCED 1),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/numero+medio+de+alunos+por+docente+no+ensino+basico+1.%c2%ba+e+2.%c2%ba+ciclos+(isced+1)-1665,,
1666,europa,Número médio de alunos por docente no ensino básico 3.º ciclo (ISCED 2),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/numero+medio+de+alunos+por+docente+no+ensino+basico+3.%c2%ba+ciclo+(isced+2)-1666,,
1669,europa,Número médio de alunos por docente no ensino pré-escolar (ISCED 02),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/numero+medio+de+alunos+por+docente+no+ensino+pre+escolar+(isced+02)-1669,,
1667,europa,Número médio de alunos por docente no ensino secundário (ISCED 3),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/numero+medio+de+alunos+por+docente+no+ensino+secundario+(isced+3)-1667,,
1668,europa,Número médio de alunos por docente no ensino superior (ISCED 5-8),Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/numero+medio+de+alunos+por+docente+no+ensino+superior+(isced+5+8)-1668,,
1536,europa,Número médio de divisões por pessoa: total e por tipo de agregado doméstico,Eurostat | Entidades Nacionais | PORDATA,2026-03-26,https://www.pordata.pt/europa/numero+medio+de+divisoes+por+pessoa+total+e+por+tipo+de+agregado+domestico-1536,,
2534,europa,Número médio de dormidas por entrada nos alojamentos turísticos coletivos: total e por tipo de turista,Eurostat | Entidades Nacionais | PORDATA,2026-01-21,https://www.pordata.pt/europa/numero+medio+de+dormidas+por+entrada+nos+alojamentos+turisticos+coletivos+total+e+por+tipo+de+turista-2534,,
3046,europa,"Número médio de passageiros por voo comercial: total, voos domésticos e voos internacionais",Eurostat | Entidades Nacionais | PORDATA,2026-01-19,https://www.pordata.pt/europa/numero+medio+de+passageiros+por+voo+comercial+total++voos+domesticos+e+voos+internacionais-3046,,
2532,europa,Número médio de viagens turísticas por turista,Eurostat | Entidades Nacionais | PORDATA,2025-10-16,https://www.pordata.pt/europa/numero+medio+de+viagens+turisticas+por+turista-2532,,
3079,europa,Número médio de vítimas por acidente rodoviário,CE | DG MOVE | Entidades Nacionais | PORDATA,2026-05-19,https://www.pordata.pt/europa/numero+medio+de+vitimas+por+acidente+rodoviario-3079,,
1253,europa,Óbitos infantis: fetais tardios e neonatais,Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2025-12-24,https://www.pordata.pt/europa/obitos+infantis+fetais+tardios+e+neonatais-1253,,
2484,europa,Óbitos por algumas causas de morte em % do total de óbitos,Eurostat | OMS | Entidades Nacionais | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-13,https://www.pordata.pt/europa/obitos+por+algumas+causas+de+morte+em+percentagem+do+total+de+obitos-2484,,
1612,europa,Óbitos: por algumas causas de morte,Eurostat | OMS | Entidades Nacionais | PORDATA,2026-01-15,https://www.pordata.pt/europa/obitos+por+algumas+causas+de+morte-1612,,
1252,europa,Óbitos: total e no primeiro ano de vida,Eurostat | NU | Institutos Nacionais de Estatística | PORDATA,2026-07-13,https://www.pordata.pt/europa/obitos+total+e+no+primeiro+ano+de+vida-1252,,
3318,europa,Ocupação efetiva das prisões (%),Eurostat | UNODC | Entidades Nacionais | PORDATA,2026-04-29,https://www.pordata.pt/europa/ocupacao+efetiva+das+prisoes+(percentagem)-3318,,
3557,europa,Participação de adultos na aprendizagem,Eurostat | Institutos Nacionais de Estatística | PORDATA,2026-04-19,https://www.pordata.pt/europa/participacao+de+adultos+na+aprendizagem-3557,,
3556,europa,Participação no ensino pré-escolar,Eurostat | UNESCO-UIS | OCDE | Entidades Nacionais | PORDATA,2026-03-17,https://www.pordata.pt/europa/participacao+no+ensino+pre+escolar+total+e+por+sexo+(percentagem)-3556,,
3577,europa,Passageiros transportados por autocarros e comboios (%),Eurostat | Fórum Internacional de Transportes (ITF / OCDE) | UNECE | Entidades Nacionais | Direção-Geral da Mobilidade e dos Transportes da Comissão Europeia | PORDATA,2026-07-24,https://www.pordata.pt/europa/passageiros+transportados+por+autocarros+e+comboios+(percentagem)-3577,,
